: 440873K->48946K(440896K), 0.0191180 secs] 4264276K->3937091K(12533952K), 0.0192910 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440722K->48960K(440896K), 0.0235300 secs] 4328867K->4002470K(12533952K), 0.0237260 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440807K->48960K(440896K), 0.0327110 secs] 4394317K->4068219K(12533952K), 0.0329000 secs] [Times: user=0.33 sys=0.00, real=0.03 secs] 
: 440868K->48960K(440896K), 0.0208270 secs] 4460127K->4134132K(12533952K), 0.0210360 secs] [Times: user=0.28 sys=0.01, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0205740 secs] 4526068K->4195834K(12533952K), 0.0207810 secs] [Times: user=0.30 sys=0.00, real=0.02 secs] 
: 440645K->48960K(440896K), 0.0222540 secs] 4587520K->4261624K(12533952K), 0.0224570 secs] [Times: user=0.32 sys=0.01, real=0.03 secs] 
: 440741K->48960K(440896K), 0.0216370 secs] 4653405K->4328170K(12533952K), 0.0218450 secs] [Times: user=0.29 sys=0.00, real=0.03 secs] 
: 440823K->48960K(440896K), 0.0192100 secs] 4720034K->4393306K(12533952K), 0.0194140 secs] [Times: user=0.27 sys=0.01, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0211460 secs] 4785242K->4457772K(12533952K), 0.0213740 secs] [Times: user=0.33 sys=0.01, real=0.02 secs] 
: 440896K->48909K(440896K), 0.0205320 secs] 4849708K->4522968K(12533952K), 0.0207310 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440844K->48960K(440896K), 0.0212480 secs] 4914902K->4586386K(12533952K), 0.0213970 secs] [Times: user=0.33 sys=0.00, real=0.03 secs] 
: 440667K->48960K(440896K), 0.0220620 secs] 4978093K->4650756K(12533952K), 0.0222570 secs] [Times: user=0.32 sys=0.01, real=0.03 secs] 
: 440826K->48960K(440896K), 0.0203820 secs] 5042622K->4723434K(12533952K), 0.0205290 secs] [Times: user=0.29 sys=0.01, real=0.02 secs] 
: 440830K->48960K(440896K), 0.0202520 secs] 5115304K->4782689K(12533952K), 0.0204540 secs] [Times: user=0.28 sys=0.01, real=0.03 secs] 
: 440896K->48960K(440896K), 0.0223400 secs] 5174625K->4849332K(12533952K), 0.0224940 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440896K->48952K(440896K), 0.0287510 secs] 5241268K->4915806K(12533952K), 0.0289480 secs] [Times: user=0.28 sys=0.00, real=0.03 secs] 
: 440888K->48960K(440896K), 0.0252620 secs] 5307742K->4980692K(12533952K), 0.0254680 secs] [Times: user=0.33 sys=0.01, real=0.02 secs] 
: 440860K->48933K(440896K), 0.0238180 secs] 5372593K->5045578K(12533952K), 0.0240160 secs] [Times: user=0.38 sys=0.00, real=0.02 secs] 
: 440851K->48960K(440896K), 0.0181460 secs] 5437497K->5110535K(12533952K), 0.0182960 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440810K->48960K(440896K), 0.0195340 secs] 5502385K->5175711K(12533952K), 0.0197310 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440723K->48960K(440896K), 0.0198700 secs] 5567474K->5241554K(12533952K), 0.0200770 secs] [Times: user=0.28 sys=0.01, real=0.02 secs] 
: 440761K->48960K(440896K), 0.0204970 secs] 5633355K->5309778K(12533952K), 0.0207100 secs] [Times: user=0.30 sys=0.01, real=0.02 secs] 
: 440653K->48960K(440896K), 0.0216710 secs] 5701471K->5371018K(12533952K), 0.0218780 secs] [Times: user=0.34 sys=0.00, real=0.02 secs] 
: 440693K->48927K(440896K), 0.0209240 secs] 5762752K->5436198K(12533952K), 0.0211210 secs] [Times: user=0.30 sys=0.01, real=0.02 secs] 
: 440727K->48942K(440896K), 0.0233260 secs] 5827998K->5503374K(12533952K), 0.0235270 secs] [Times: user=0.32 sys=0.00, real=0.03 secs] 
: 440878K->48960K(440896K), 0.0215890 secs] 5895310K->5570370K(12533952K), 0.0221240 secs] [Times: user=0.30 sys=0.00, real=0.02 secs] 
: 440775K->48960K(440896K), 0.0197950 secs] 5962186K->5634613K(12533952K), 0.0199930 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440827K->48960K(440896K), 0.0233830 secs] 6026480K->5699695K(12533952K), 0.0235380 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
: 440896K->48945K(440896K), 0.0251340 secs] 6091631K->5765182K(12533952K), 0.0253410 secs] [Times: user=0.30 sys=0.00, real=0.03 secs] 
: 440661K->48960K(440896K), 0.0198120 secs] 6156898K->5829253K(12533952K), 0.0199270 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440713K->48960K(440896K), 0.0175870 secs] 6221006K->5894942K(12533952K), 0.0177030 secs] [Times: user=0.25 sys=0.00, real=0.01 secs] 
: 440850K->48960K(440896K), 0.0152740 secs] 6286832K->5960401K(12533952K), 0.0153970 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
: 440871K->48960K(440896K), 0.0158820 secs] 6352312K->6024454K(12533952K), 0.0160000 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
: 440649K->48959K(440896K), 0.0187570 secs] 6416144K->6089909K(12533952K), 0.0188910 secs] [Times: user=0.21 sys=0.00, real=0.02 secs] 
: 440895K->48960K(440896K), 0.0267940 secs] 6481845K->6153624K(12533952K), 0.0269150 secs] [Times: user=0.29 sys=0.00, real=0.03 secs] 
: 440853K->48960K(440896K), 0.0212440 secs] 6545518K->6219156K(12533952K), 0.0213760 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0157060 secs] 6611092K->6284500K(12533952K), 0.0158180 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
: 440707K->48960K(440896K), 0.0448090 secs] 6676247K->6350140K(12533952K), 0.0449230 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
: 440774K->48954K(440896K), 0.0323720 secs] 6741955K->6416345K(12533952K), 0.0325130 secs] [Times: user=0.19 sys=0.01, real=0.03 secs] 
: 440863K->48960K(440896K), 0.0518500 secs] 6808255K->6481990K(12533952K), 0.0519980 secs] [Times: user=0.22 sys=0.00, real=0.05 secs] 
: 440654K->48943K(440896K), 0.0604950 secs] 6873684K->6544420K(12533952K), 0.0606260 secs] [Times: user=0.29 sys=0.00, real=0.06 secs] 
: 440700K->48960K(440896K), 0.0748430 secs] 6936178K->6609076K(12533952K), 0.0749830 secs] [Times: user=0.25 sys=0.00, real=0.08 secs] 
: 440861K->48960K(440896K), 0.0334250 secs] 7000977K->6674271K(12533952K), 0.0335820 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
: 440896K->48958K(440896K), 0.0779830 secs] 7066207K->6739939K(12533952K), 0.0781220 secs] [Times: user=0.30 sys=0.00, real=0.08 secs] 
: 440799K->48960K(440896K), 0.0626660 secs] 7131780K->6803493K(12533952K), 0.0627980 secs] [Times: user=0.28 sys=0.00, real=0.07 secs] 
: 440664K->48960K(440896K), 0.0753560 secs] 7195197K->6868092K(12533952K), 0.0755400 secs] [Times: user=0.32 sys=0.00, real=0.07 secs] 
: 440708K->48920K(440896K), 0.0286440 secs] 7259840K->6933439K(12533952K), 0.0288480 secs] [Times: user=0.31 sys=0.01, real=0.03 secs] 
: 440796K->48912K(440896K), 0.0245130 secs] 7325315K->6999011K(12533952K), 0.0247450 secs] [Times: user=0.32 sys=0.00, real=0.03 secs] 
: 440848K->48960K(440896K), 0.0212310 secs] 7390947K->7061410K(12533952K), 0.0214150 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440815K->48936K(440896K), 0.0238840 secs] 7453265K->7128356K(12533952K), 0.0241020 secs] [Times: user=0.34 sys=0.01, real=0.02 secs] 
: 440813K->48958K(440896K), 0.0198350 secs] 7520233K->7193021K(12533952K), 0.0200300 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440894K->48935K(440896K), 0.0203470 secs] 7584957K->7257974K(12533952K), 0.0205850 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440871K->48900K(440896K), 0.0224720 secs] 7649910K->7323541K(12533952K), 0.0227170 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440739K->48949K(440896K), 0.0247850 secs] 7715380K->7388861K(12533952K), 0.0250230 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440788K->48960K(440896K), 0.0198860 secs] 7780700K->7451367K(12533952K), 0.0201140 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440793K->48930K(440896K), 0.0211380 secs] 7843201K->7518522K(12533952K), 0.0214100 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440860K->48960K(440896K), 0.0190420 secs] 7910452K->7583710K(12533952K), 0.0192750 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
: 440670K->48960K(440896K), 0.0248650 secs] 7975421K->7652932K(12533952K), 0.0251020 secs] [Times: user=0.28 sys=0.01, real=0.03 secs] 
: 440689K->48911K(440896K), 0.0191650 secs] 8044662K->7716337K(12533952K), 0.0193390 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
: 440602K->48956K(440896K), 0.0209130 secs] 8108027K->7787593K(12533952K), 0.0210970 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
